"iso3","year","value"
"ABW",1987,16.0784313755902
"ABW",1988,18.6486486682331
"ABW",1989,12.1298405451924
"ABW",1990,3.96140172360629
"ABW",1991,7.96287173232642
"ABW",1992,5.88235395341866
"ABW",1993,7.30769324531406
"ABW",1994,8.20390129312089
"ABW",1995,2.54714368704694
"ABW",1996,1.18578851134656
"ABW",1997,7.04687499241221
"ABW",1998,1.99198444906199
"ABW",1999,1.2380418420716
"ABW",2000,7.62292064930222
"ABW",2001,4.1820016304779
"ABW",2002,-0.944953481157384
"ABW",2003,1.11050459944282
"ABW",2004,7.29372807096192
"ABW",2005,-0.383137672063768
"ABW",2006,1.12741146411624
"ABW",2007,3.0895443848509
"ABW",2008,1.83575517191368
"ABW",2009,-11.6777413693852
"ABW",2010,-2.73345679250639
"ABW",2011,3.36923718421511
"ABW",2012,-1.04079988436683
"ABW",2013,6.43146080719245
"ABW",2014,1.42609864257801
"ABW",2015,3.61147995361162
"ABW",2016,1.23433537363427
"ABW",2017,3.49342985290626
"ABW",2018,3.21247111920076
"ABW",2019,1.22511225158814
"ABW",2020,-23.8979898352395
"ABW",2021,14.7306159219273
"ABW",2022,10.6364309604414
"ABW",2023,7.70679839650956
"ABW",2024,6.81077669324542
"AFG",2001,-9.4319740700862
"AFG",2002,28.6000011706788
"AFG",2003,8.83227780288267
"AFG",2004,1.41411799339429
"AFG",2005,11.2297148272859
"AFG",2006,5.35740324748592
"AFG",2007,13.8263195471281
"AFG",2008,3.92498381999467
"AFG",2009,21.3905283926492
"AFG",2010,14.3624414710737
"AFG",2011,0.426354776777345
"AFG",2012,12.7522870926697
"AFG",2013,5.60074465863221
"AFG",2014,2.72454336219565
"AFG",2015,1.45131466066431
"AFG",2016,2.26031420279821
"AFG",2017,2.6470032027451
"AFG",2018,1.18922812944517
"AFG",2019,3.91160341625552
"AFG",2020,-2.35110067203466
"AFG",2021,-20.7388393676343
"AFG",2022,-6.24017199240269
"AFG",2023,2.26694373649188
"AGO",1981,-4.40000121865036
"AGO",1982,0
"AGO",1983,4.20000142853753
"AGO",1984,6.00000216509056
"AGO",1985,3.49999949008608
"AGO",1986,2.90000174246853
"AGO",1987,4.08274863510731
"AGO",1988,6.12889047765088
"AGO",1989,0.0416214618373516
"AGO",1990,-3.45009868500237
"AGO",1991,0.991359302044742
"AGO",1992,-5.83828073313154
"AGO",1993,-23.9834174420578
"AGO",1994,1.33936343648007
"AGO",1995,15.0000000288633
"AGO",1996,13.5443697551025
"AGO",1997,7.27427735460373
"AGO",1998,4.69114645093552
"AGO",1999,2.18148971840462
"AGO",2000,3.05462423430785
"AGO",2001,4.20599855619506
"AGO",2002,13.6656887608562
"AGO",2003,3.48731240097521
"AGO",2004,11.4198633904585
"AGO",2005,14.1547775343954
"AGO",2006,11.8418178757044
"AGO",2007,13.0026889457975
"AGO",2008,10.7866360496581
"AGO",2009,1.99558909788963
"AGO",2010,5.29366572819954
"AGO",2011,3.59386960240222
"AGO",2012,8.50312283866612
"AGO",2013,4.88306129688392
"AGO",2014,4.65572356315585
"AGO",2015,0.763177710914789
"AGO",2016,-1.70053036291208
"AGO",2017,-0.149396225571834
"AGO",2018,-0.59441122698307
"AGO",2019,-0.204680245744115
"AGO",2020,-4.04244724639663
"AGO",2021,2.10275251923413
"AGO",2022,4.21600258475137
"AGO",2023,1.26330814020108
"AGO",2024,4.42390664406875
"ALB",1981,5.74563529228132
"ALB",1982,2.94859680118944
"ALB",1983,1.10493826195055
"ALB",1984,-1.25159664405811
"ALB",1985,1.78064395924895
"ALB",1986,5.63724317852117
"ALB",1987,-0.787842654927232
"ALB",1988,-1.42003965566396
"ALB",1989,9.8365489718722
"ALB",1990,-9.57564016993408
"ALB",1991,-28.0021416538074
"ALB",1992,-7.18711090964234
"ALB",1993,9.55941167111243
"ALB",1994,8.30286659699082
"ALB",1995,13.3223333268813
"ALB",1996,7.33632894771891
"ALB",1997,-11.7115732812278
"ALB",1998,8.3100252038309
"ALB",1999,12.2507281968475
"ALB",2000,7.46285871776054
"ALB",2001,8.8637306604876
"ALB",2002,4.62839587394552
"ALB",2003,5.33326426009945
"ALB",2004,5.26626173860785
"ALB",2005,5.13082193056189
"ALB",2006,6.0189812403864
"ALB",2007,6.50009261158209
"ALB",2008,6.90706230713707
"ALB",2009,2.69075152362146
"ALB",2010,2.97315442681247
"ALB",2011,2.46351683915714
"ALB",2012,0.984129880204108
"ALB",2013,1.7072283175406
"ALB",2014,2.24022695382642
"ALB",2015,2.2277040745779
"ALB",2016,3.90893551362245
"ALB",2017,3.28317593330073
"ALB",2018,3.67141928098908
"ALB",2019,2.06257790176122
"ALB",2020,-3.31375636888916
"ALB",2021,8.96957619074095
"ALB",2022,4.8268006234359
"ALB",2023,4.01541716935742
"ALB",2024,4.04592845095348
"AND",1971,4.64946535556467
"AND",1972,8.14974352749283
"AND",1973,7.78846724532318
"AND",1974,5.61878962739297
"AND",1975,0.54220566972954
"AND",1976,3.30378705328451
"AND",1977,2.83857556906837
"AND",1978,1.46300016981581
"AND",1979,0.0415572233591206
"AND",1980,2.20872761148199
"AND",1981,-0.132474492519691
"AND",1982,1.2464611381716
"AND",1983,1.77011827083456
"AND",1984,1.7846866722919
"AND",1985,2.32143303428465
"AND",1986,3.25332182847531
"AND",1987,5.54712216113352
"AND",1988,5.09432619448408
"AND",1989,4.82703427244309
"AND",1990,3.78138754899436
"AND",1991,2.54600353080194
"AND",1992,0.929214040125956
"AND",1993,-1.03148438999895
"AND",1994,2.3831822482118
"AND",1995,2.75750161326249
"AND",1996,4.64973866754707
"AND",1997,9.06767205144135
"AND",1998,3.19479339289236
"AND",1999,4.0990789217793
"AND",2000,3.52836236122388
"AND",2001,8.11935772169949
"AND",2002,4.54636221364653
"AND",2003,8.69420371612468
