"iso3","year","value"
"ABW",2003,156424.581005586
"ABW",2005,29713.2392925923
"ABW",2006,71831.445994457
"ABW",2007,55865.9217877095
"ABW",2008,55865.9217877095
"ABW",2013,75.0545027944862
"ABW",2014,67.3456428217191
"ABW",2015,17247.7427444961
"ABW",2016,33607.0173260593
"ABW",2017,8565.60983240223
"ABW",2018,932986.795265326
"ABW",2019,1750298.46454457
"ABW",2020,153605.366917103
"ABW",2021,700088.484163461
"ABW",2022,1001564.92450125
"ABW",2023,45134.1853042949
"AFG",2008,643174.51
"AFG",2009,744281.07
"AFG",2010,626710.87
"AFG",2011,433679.25
"AFG",2014,463662.430553814
"AFG",2015,12809.26
"AFG",2019,5555.67146925886
"AFG",2020,335.19545813078
"AGO",1993,14100000
"AGO",1994,18300000
"AGO",1995,7421000
"AGO",1996,16587000
"AGO",1997,5960000
"AGO",1998,9480000
"AGO",1999,2790000
"AGO",2000,15750000
"AGO",2001,4420000
"AGO",2004,226800000
"AGO",2005,49430571.11
"AGO",2006,1339588441.64
"AGO",2007,12021694.12
"AGO",2008,1.2e+07
"AGO",2012,16332320.86
"AGO",2013,18843635.45
"AGO",2014,21944072.217
"AGO",2015,17490960
"AGO",2016,10997630
"AGO",2017,11569560
"AGO",2018,8226880
"AGO",2019,516010
"AGO",2024,12845.3434578
"ALB",2003,5321983.91
"ALB",2004,15410498.39
"ALB",2005,505314.458021101
"ALB",2006,723627.416065901
"ALB",2007,7530000
"ALB",2008,40441133.4106941
"ALB",2009,17098527.1570284
"ALB",2010,739036.184704185
"ALB",2011,13339406.1051136
"ALB",2012,1650606.39559553
"ALB",2013,1185804.07535826
"ALB",2014,740461.814541585
"ALB",2015,1945283.40574263
"ALB",2016,2703932.26362696
"ALB",2017,10991466.0499113
"ALB",2018,14949446.678663
"ALB",2019,17149047.0587119
"ALB",2020,15865804.9184836
"ALB",2021,19332528.3225106
"ALB",2022,13222816.6646375
"ALB",2023,3090068.64083668
"ALB",2024,6354951.57395391
"AND",2022,314003.306423949
"AND",2023,336888.882126976
"AND",2024,347548.49846818
"ARE",2023,3512593601.08917
"ARE",2024,3512593601.08917
"ARG",1976,2.3e+07
"ARG",1977,1.4e+07
"ARG",1978,4e+06
"ARG",1979,3e+06
"ARG",1980,4e+06
"ARG",1981,6e+06
"ARG",1982,1.2e+07
"ARG",1983,2e+06
"ARG",1984,4e+06
"ARG",1985,8e+06
"ARG",1986,1.6e+07
"ARG",1987,1.4e+07
"ARG",1988,6e+06
"ARG",1989,7e+06
"ARG",1990,4e+06
"ARG",1991,4e+06
"ARG",1992,5700000
"ARG",1993,6960000
"ARG",1994,8700000
