"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","12.9260156680177","13.0848496742242","13.7277989334583","13.628283398815","14.0074133899923","14.7200230760307","15.2782114012708","16.1272317962995","16.0170416441007","16.1015475497846","16.3907505044125","16.427453899004","17.3061674244951","17.8200676667027","18.490931064111","19.5531896208795","20.7315833141869","22.2106349086288","24.2734689471214","26.1924445420882","28.2725065138218","27.407782825226","27.3577683441949","24.7907006773648","28.2273253256049","26.7987101111455","25.6410039453962","26.5694795418843","28.063205382089","29.0748311828463","30.8172059393627","32.6744688330804","51.6901492107292","56.2559963220518","60.5686722605179","61.5629020954241","65.2094995215879","71.3091020863261","77.6249472999367","82.7522994368699","88.0878396730519","92.7816059239053","97.5561721090051","98.6210300898679","101.135389718619","99.4496334895509","99.6104925909615","102.002597638444","102.032842522394","103.697729690595","103.833468464492","100","100","100","100","100","100","100","100","100","","","","",
"Afghanistan","AFG","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","41.54","42.1","44.76","46.17","48.79","54.06","57.44","61.76","62.01","56.8","55.27","49.88","55.16","57.63","60.13","65.71","65.15","65.86","66.29","67.55","69.68","70.12","68.36","64.58","57.98","49.67","52.96","55.53","57.84","67.11","68.55","68.15","72.09","79.06","85.07","93.67","102.45","109.93","115.17","98.12","78.92","95.13","90.49","97.17","95.56","84.74","86.6","91.41","94.16","98.06","100.53","101.31","96.36","104.27","96.68","99.05","100.27","98.64","99.5","97.12","96.07","95.4","","",
"Africa Western and Central","AFW","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Angola","AGO","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","23.14","23.83","24.43","26.04","27.2","27.98","28.87","28.94","30.41","32.65","33.34","33.05","34.09","34.65","38.03","34.71","35.41","36.53","37.49","38.21","39.02","40.66","41.3","41.96","43.01","44.33","44.34","44.63","45.02","46.29","47.08","50.14","51.19","50.3","47.28","55.31","58.76","62.71","63.17","67.62","68.84","70.71","71.37","63.59","70.13","71.46","75.34","78.81","80.37","84.72","86.97","89.76","94.03","96.69","99.8","103.52","107.46","107.07","113.83","113.25","122.72","130.74","","",
"Albania","ALB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","22.52","22.83","22.74","22.36","23.09","23.83","27.03","25.16","25.42","26.11","27.62","27.04","28.29","29.1","29.3","31.18","31.94","35.26","36.53","37.48","39.12","39.22","39.6","38.27","37.74","37.31","39.75","43.18","45.65","50.06","49.71","55.89","59.1","69.66","78.8","80.13","70.8","72.07","76.17","80.43","82.22","84.53","87.79","90.87","88.21","89.74","93.17","85.72","86.27","89.69","93.33","96.58","98.36","98.23","100.24","101.53","100.97","105.5","98.98","94.47","91.79","83.74","","",
"Andorra","AND","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","19.4344112724812","19.6727026504672","20.6442386334307","20.4936132255579","21.0645997074591","22.1399755412591","22.9861795679515","24.268705872896","24.0968015324167","24.2193503883332","24.6628334019249","24.7106926325436","26.0404485540693","26.8254618147385","27.8407537784963","29.4437944077813","31.2227933009572","33.4546656009747","36.576293127861","39.4903927294229","42.6459919346371","41.3365463417047","41.2619581518561","37.3808135606568","42.5780300531923","40.4161527101011","38.6741316850491","40.0827834543093","42.3411008423311","43.8766348672109","46.5029215207162","49.3182263939412","51.6625293258264","56.242880736649","60.5602274043407","61.5579497281968","65.2035088096635","71.3125823550267","77.6247722692172","82.7550075702242","88.090073540058","92.7824486499775","97.5563917861429","98.6209942180459","101.135411821576","99.4495833011498","99.6104734827602","102.003107747203","102.033426954861","103.69960209029","103.834454263445","100","100","100","100","100","100","100","100","100","","","","",
"United Arab Emirates","ARE","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","7.03","7.05","7.23","7.46","7.66","7.85","7.97","8.38","8.71","9.11","9.53","9.42","10.27","9.79","8.9","6.21","7.69","9.08","9.51","10.88","11.93","13.23","15.72","16.62","17.76","19.63","20.81","23.69","23.64","25.55","25.16","26.63","28.23","32.04","33.2","37.68","38.87","39.73","36.83","44","45.79","51.47","49.09","50.6","56.53","55.1","56.48","65.24","68.5","78.12","80.18","86.69","87.85","97.72","93.2","109.08","114.45","121.17","135.18","138.03","137.98","132.1","","",
"Argentina","ARG","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","58.16","62.1","66.96","56.66","57.17","64.5","67.87","68.79","74.92","69.53","59.09","63","61.52","61.83","67.76","75.09","76.27","81.24","78.96","75.51","77.4","70.22","68.2","70.37","75.66","78.65","72.5","70.1","71.99","79.03","77.59","75.97","79.68","81.58","81.57","81.17","82.09","79.23","86.75","85.94","80.46","76.31","78.84","89.16","94.17","95.2","98.14","98.44","104.09","91.9","92.89","95.99","100.05","98.29","103.14","98.57","102.98","108.12","110.4","112.8","111.03","113.91","","",
